layout,order,N,gflops,l1_miss,seconds
rm,jik, 40, 2.8875654214040787,51.0,5.541e-06
rm,jik, 400, 2.279206896778772,1872307.0,0.023692452
rm,jik, 50, 4.329150742381709,312.0,2.9567e-05
rm,jik, 500, 3.2213271993894583,64611916.0,0.039735175
rm,jik, 60, 4.329150742381709,312.0,2.9567e-05
rm,jik, 600, 5.320077006625049,8152912.0,0.046991801
rm,jik, 70, 5.014800626850079,1332.0,8.6145e-05
rm,jik, 700, 6.418232600809968,21813739.0,0.106883007
rm,jik, 80, 5.014800626850079,1332.0,8.6145e-05
rm,jik, 800, 6.5339507687100555,32559115.0,0.156719883
rm,jik, 90, 2.7895123519147766,17642.0,0.000522672
rm,jik, 900, 6.5621157795133955,46472618.0,0.222184437
rm,jki, 10, 0.45475216007276037,22.0,4.398e-06
rm,jki, 100, 2.7895123519147766,17642.0,0.000522672
rm,jki, 1000, 3.1923568999722547,1004962603.0,0.626496367
rm,jki, 20, 0.45475216007276037,22.0,4.398e-06
rm,jki, 200, 2.4375915620330493,523662.0,0.006563856
rm,jki, 2000, 2.225093019620817,8603254544.0,7.190710617
rm,jki, 30, 2.8875654214040787,51.0,5.541e-06
rm,jki, 300, 2.4375915620330493,523662.0,0.006563856
rm,jki, 3000, 1.2412170748556948,27031101919.0,43.505685745
rm,jki, 40, 2.8875654214040787,51.0,5.541e-06
rm,jki, 400, 2.279206896778772,1872307.0,0.023692452
rm,jki, 50, 4.329150742381709,312.0,2.9567e-05
rm,jki, 500, 3.2213271993894583,64611916.0,0.039735175
rm,jki, 60, 4.329150742381709,312.0,2.9567e-05
rm,jki, 600, 5.320077006625049,8152912.0,0.046991801
rm,jki, 70, 5.014800626850079,1332.0,8.6145e-05
rm,jki, 700, 6.418232600809968,21813739.0,0.106883007
rm,jki, 80, 5.014800626850079,1332.0,8.6145e-05
rm,jki, 800, 6.5339507687100555,32559115.0,0.156719883
rm,jki, 90, 2.7895123519147766,17642.0,0.000522672
rm,jki, 900, 3.1079113105964793,732675224.0,0.469125356
rm,kij, 10, 0.45475216007276037,22.0,4.398e-06
rm,kij, 100, 2.7895123519147766,17642.0,0.000522672
rm,kij, 1000, 3.1923568999722547,1004962603.0,0.626496367
rm,kij, 20, 0.45475216007276037,22.0,4.398e-06
rm,kij, 200, 2.4375915620330493,523662.0,0.006563856
rm,kij, 2000, 5.136911815049034,521479386.0,3.11471183
rm,kij, 30, 2.8875654214040787,51.0,5.541e-06
rm,kij, 300, 2.4375915620330493,523662.0,0.006563856
rm,kij, 3000, 1.2412170748556948,27031101919.0,43.505685745
rm,kij, 40, 2.8875654214040787,51.0,5.541e-06
rm,kij, 400, 2.279206896778772,1872307.0,0.023692452
rm,kij, 4000, 4.38867703212818,4342311846.0,29.165964837
rm,kij, 50, 4.329150742381709,312.0,2.9567e-05
rm,kij, 500, 5.228223018594447,8190773.0,0.047817394
rm,kij, 5000, 4.448583173320859,15761628990.0,56.197667945
rm,kij, 60, 4.329150742381709,312.0,2.9567e-05
rm,kij, 600, 5.341404789459628,14040561.0,0.0808776
rm,kij, 70, 5.014800626850079,1332.0,8.6145e-05
rm,kij, 700, 6.418232600809968,21813739.0,0.106883007
rm,kij, 80, 5.014800626850079,1332.0,8.6145e-05
rm,kij, 800, 5.417676855299311,33116558.0,0.189010904
rm,kij, 90, 2.7895123519147766,17642.0,0.000522672
rm,kij, 900, 3.1079113105964793,732675224.0,0.469125356
rm,kji, 10, 0.45475216007276037,22.0,4.398e-06
rm,kji, 100, 2.7895123519147766,17642.0,0.000522672
rm,kji, 1000, 1.6008214570483845,2001631166.0,1.249358566
rm,kji, 20, 0.45475216007276037,22.0,4.398e-06
rm,kji, 200, 2.4375915620330493,523662.0,0.006563856
rm,kji, 2000, 5.136911815049034,521479386.0,3.11471183
rm,kji, 30, 2.8875654214040787,51.0,5.541e-06
rm,kji, 300, 2.4375915620330493,523662.0,0.006563856
rm,kji, 3000, 1.1245526695586294,54011300566.0,48.019093691
rm,kji, 40, 2.8875654214040787,51.0,5.541e-06
rm,kji, 400, 2.279206896778772,1872307.0,0.023692452
rm,kji, 50, 4.329150742381709,312.0,2.9567e-05
rm,kji, 500, 5.228223018594447,8190773.0,0.047817394
rm,kji, 60, 4.329150742381709,312.0,2.9567e-05
rm,kji, 600, 5.341404789459628,14040561.0,0.0808776
rm,kji, 70, 5.014800626850079,1332.0,8.6145e-05
rm,kji, 700, 1.6544827917003657,686519175.0,0.414631088
rm,kji, 80, 5.014800626850079,1332.0,8.6145e-05
rm,kji, 800, 5.417676855299311,33116558.0,0.189010904
rm,kji, 90, 2.7895123519147766,17642.0,0.000522672
rm,kji, 900, 1.6484502791730256,1458893075.0,0.884467077
